"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Metabolites","Compound.ID","Super.Class","Class","Sub.Class","KEGG","level","group"
"189.05798.4",6.97117033439827e-74,0.383742148719604,0.988,0.883,3.70866261789988e-71,"189.05798","Ethyl 4-(acetylthio)butyrate","HMDB0032259","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",NA,"**","neg"
"253.21777.2",4.28310282454223e-66,0.372427041681701,0.996,0.863,2.27861070265647e-63,"253.21777","Cadinene","HMDB0032182","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,"*","neg"
"195.13936.2",8.20798764233123e-06,0.37179231878939,0.148,0.102,0.00436664942572022,"195.13936","Dihydro-5-(2-octenyl)-2(3H)-furanone;
Methyl 2-undecynoate;
cis-3-Hexenyl trans-4-hexenoate;
(Z)-4-Hydroxy-6-dodecenoic acid lactone;
Geranyl acetate;
Artemisia alcohol acetate;
WE(12:2(2E,4Z));
cis-3-Hexenyl cis-3-hexenoate;
cis-3-Hexenyl trans-2-hexenoate;
Linalyl acetate;
Allyl 3-cyclohexylpropionate;
Isopulegol acetate;
Dihydrocarveol acetate;
(S)-Santolina acetate;
3,7-Dimethyl-2,6-octadien-1-ylacetate","HMDB0030867;
HMDB0030945;
HMDB0031692;
HMDB0032331;
HMDB0035157;
HMDB0036048;
HMDB0036599;
HMDB0038270;
HMDB0038280;
HMDB0039522;
HMDB0040206;
HMDB0040227;
HMDB0041469;
HMDB0041494;
HMDB0061816","Organoheterocyclic compounds;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Organoheterocyclic compounds;
Lipids and lipid-like molecules;
Organic acids and derivatives;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Organic acids and derivatives;
Lipids and lipid-like molecules","Lactones;
Fatty Acyls;
Fatty Acyls;
Lactones;
Fatty Acyls;
Carboxylic acids and derivatives;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Prenol lipids;
Fatty Acyls;
Prenol lipids;
Prenol lipids;
Carboxylic acids and derivatives;
Fatty Acyls","Gamma butyrolactones;
Fatty acid esters;
Fatty acid esters;
Gamma butyrolactones;
Fatty alcohol esters;
Carboxylic acid derivatives;
Fatty acid esters;
Fatty acid esters;
Fatty acid esters;
Monoterpenoids;
Fatty acid esters;
Monoterpenoids;
Monoterpenoids;
Carboxylic acid derivatives;
Fatty alcohol esters",";
;
;
C03107;
C09861;
;
C08486;
;
;
C09863;
C12306;
;
;
;
","*","neg"
"393.26253.3",4.20402165673244e-12,0.369993092242181,0.429,0.305,2.23653952138166e-09,"393.26253","11-Hydroxyeicosatetraenoate glyceryl ester;
2-(14,15-Epoxyeicosatrienoyl) Glycerol","HMDB0012530;
HMDB0013651","Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Endocannabinoids;
Glycerolipids","Unclassified;
Monoradylglycerols",";
","**","neg"
"564.50848.3",6.92476091089111e-74,0.368549477247234,0.999,0.891,3.68397280459407e-71,"564.50848",NA,NA,NA,NA,NA,NA,NA,"neg"
"227.20206.3",1.5134172121503e-22,0.360120196177764,0.441,0.283,8.05137956863958e-20,"227.20206","FA(14:0);
2,6,10-Trimethylundecanoic acid;
12-Methyltridecanoic acid;
10-Methyltridecanoic acid","HMDB0000806;
HMDB0002221;
HMDB0031072;
HMDB0061781","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Fatty acids and conjugates;
Fatty acids and conjugates;
Fatty acids and conjugates;
Fatty acids and conjugates","C06424;
;
;
","*","neg"
"211.13440.2",2.16622824937726e-117,0.357656261439562,1,0.961,1.1524334286687e-114,"211.13440","Cucurbic acid;
Dihydrojasmonic acid;
Vulgarole;
Traumatin","HMDB0029388;
HMDB0033601;
HMDB0035085;
HMDB0037326","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Prenol lipids;
Fatty Acyls","Lineolic acids and derivatives;
Lineolic acids and derivatives;
Monoterpenoids;
Fatty acids and conjugates",";
;
;
C16309","*","neg"
"172.10612.2",2.96222158137399e-28,0.353398511294703,0.827,0.647,1.57590188129096e-25,"172.10612",NA,NA,NA,NA,NA,NA,NA,"neg"
"637.54222.2",2.8866782509813e-42,0.352915110031233,0.968,0.804,1.53571282952205e-39,"637.54222","TG(36:0)","HMDB0011188","Lipids and lipid-like molecules","Glycerolipids","Triradylcglycerols",NA,"**","neg"
"188.10121.2",1.59539656211736e-15,0.351678779765085,0.589,0.458,8.48750971046436e-13,"188.10121",NA,NA,NA,NA,NA,NA,NA,"neg"
"255.23285.2",2.64985074537845e-217,0.339812249419642,1,1,1.40972059654133e-214,"255.23285","FA(16:0);
Trimethyltridecanoic acid;
Isopalmitic acid;
Butyl dodecanoate;
Dodecyl butyrate;
Hexyl decanoate;
Octyl octanoate;
Ethyl tetradecanoate;
Dodecyl 2-methylpropanoate","HMDB0000220;
HMDB0002396;
HMDB0031068;
HMDB0032065;
HMDB0032249;
HMDB0032324;
HMDB0033166;
HMDB0034153;
HMDB0036210","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Prenol lipids;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Fatty acids and conjugates;
Sesquiterpenoids;
Fatty acids and conjugates;
Fatty acid esters;
Fatty alcohol esters;
Fatty acid esters;
Fatty alcohol esters;
Fatty acid esters;
Fatty alcohol esters","C00249;
;
;
;
;
;
;
;
","**","neg"
"391.24406.3",1.75284698422487e-11,0.338546762814585,0.534,0.413,9.32514595607633e-09,"391.24406",NA,NA,NA,NA,NA,NA,NA,"neg"
"612.49397.3",1.41550337102125e-07,0.337755542157802,0.343,0.265,7.53047793383308e-05,"612.49397",NA,NA,NA,NA,NA,NA,NA,"neg"
"399.27530.1",4.74171660870828e-07,0.336497151341864,0.3,0.227,0.000252259323583281,"399.27530","Palmitoyl glucuronide","HMDB0010331","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl glycosides","C03033","**","neg"
"392.22931.4",4.64800408127272e-05,0.334877713311443,0.22,0.173,0.0247273817123708,"392.22931","3,8-Dihydroxydecanoylcarnitine;
3,6-Dihydroxydecanoylcarnitine;
3,4-Dihydroxydecanoylcarnitine;
3,9-Dihydroxydecanoylcarnitine;
3,7-Dihydroxydecanoylcarnitine;
3,5-Dihydroxydecanoylcarnitine","HMDB0241141;
HMDB0241142;
HMDB0241143;
HMDB0241144;
HMDB0241145;
HMDB0241146","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Fatty acid esters;
Fatty acid esters;
Fatty acid esters;
Fatty acid esters;
Fatty acid esters;
Fatty acid esters",";
;
;
;
;
","*","neg"
"365.24701.3",5.78067150732112e-33,0.333797255193128,0.95,0.747,3.07531724189483e-30,"365.24701","QUINGESTANOL;
Apo-12'-zeaxanthinal","HMDB0257039;
HMDB0302023","Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Steroids and steroid derivatives;
Prenol lipids","Estrane steroids;
Diterpenoids",";
","**","neg"
"375.23930.1",2.73802615248392e-09,0.328043004598436,0.403,0.31,1.45662991312145e-06,"375.23930","1,6-Bis(cyclohexyloximinocarbonyl)hexane","HMDB0257195","Organic acids and derivatives","Carboximidic acids and derivatives","Unclassified",NA,"*","neg"
"591.53600.3",4.82508988534318e-13,0.321880201459412,0.628,0.484,2.56694781900257e-10,"591.53600","DG(35:0)","HMDB0007078","Lipids and lipid-like molecules","Glycerolipids","Diradylglycerols",NA,"**","neg"
"563.50493.2",3.82499169876894e-86,0.318698492229154,1,0.967,2.03489558374508e-83,"563.50493","FAHFA(18:1(9Z)/12-O-18:0)","HMDB0112105","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,"**","neg"
"419.26547.3",5.52556132637015e-11,0.31657156409081,0.528,0.41,2.93959862562892e-08,"419.26547",NA,NA,NA,NA,NA,NA,NA,"neg"
"227.12930.2",6.40233067689954e-75,0.316430134477135,0.999,0.933,3.40603992011055e-72,"227.12930","Mifentidine","HMDB0254714","Organoheterocyclic compounds","Azoles","Imidazoles",NA,"**","neg"
"788.54766.4",0.000243013012102412,0.304591105029489,0.248,0.204,0.129282922438483,"788.54766","DG(20:0/LTE4/0:0);
DG(LTE4/20:0/0:0);
DG(20:0/0:0/LTE4);
DG(LTE4/0:0/20:0);
DG(i-20:0/LTE4/0:0);
DG(LTE4/i-20:0/0:0);
DG(i-20:0/0:0/LTE4);
DG(LTE4/0:0/i-20:0)","HMDB0296299;
HMDB0296300;
HMDB0296301;
HMDB0296302;
HMDB0300038;
HMDB0300039;
HMDB0300040;
HMDB0300041","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified",";
;
;
;
;
;
;
","*","neg"
"419.30154.3",1.65800763633069e-13,0.303680811157504,0.676,0.52,8.82060062527927e-11,"419.30154","N-Palmitoyl Lysine","HMDB0241929","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,"**","neg"
"281.24896.3",7.6779863696371e-115,0.295967611978757,1,1,4.08468874864694e-112,"281.24896","petroselinate","HMDB0304458","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,"*","neg"
"125.09726.3",0.00655940505251426,0.293453602780331,0.127,0.101,1,"125.09726","(E)-2-octenal;
2-Octenal;
(3xi,5Z)-1,5-Octadien-3-ol;
2,4,4-Trimethylcyclopentanone;
3-Methyl-3-hepten-2-one;
5-Methyl-5-hepten-2-one;
Sulcatone;
2,5-Octadien-1-ol;
(3E,5Z)-3,5-Octadien-1-ol;
(2E,4E)-2,4-Octadien-1-ol","HMDB0013809;
HMDB0030961;
HMDB0030966;
HMDB0031197;
HMDB0031590;
HMDB0031591;
HMDB0035915;
HMDB0040146;
HMDB0040149;
HMDB0040151","Organic oxygen compounds;
Organic oxygen compounds;
Lipids and lipid-like molecules;
Organic oxygen compounds;
Organic oxygen compounds;
Organic oxygen compounds;
Organic oxygen compounds;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Organooxygen compounds;
Organooxygen compounds;
Fatty Acyls;
Organooxygen compounds;
Organooxygen compounds;
Organooxygen compounds;
Organooxygen compounds;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Carbonyl compounds;
Carbonyl compounds;
Fatty alcohols;
Carbonyl compounds;
Carbonyl compounds;
Carbonyl compounds;
Carbonyl compounds;
Fatty alcohols;
Fatty alcohols;
Fatty alcohols",";
;
;
;
;
;
C07287;
;
;
","*","neg"
"282.25200.3",1.24372886977238e-92,0.29004129793573,1,0.982,6.61663758718909e-90,"282.25200",NA,NA,NA,NA,NA,NA,NA,"neg"
"390.25013.3",3.81762251126958e-07,0.284449936059514,0.429,0.346,0.000203097517599541,"390.25013","3-hydroxyundecanoyl carnitine","HMDB0061637","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",NA,"*","neg"
"392.26591.3",2.05023004177299e-24,0.280058476865633,0.961,0.815,1.09072238222323e-21,"392.26591",NA,NA,NA,NA,NA,NA,NA,"neg"
"465.98639.3",0.00126808583593094,0.277546952766332,0.2,0.164,0.674621664715261,"465.98639",NA,NA,NA,NA,NA,NA,NA,"neg"
"611.49061.1",2.32268976851978e-23,0.271306514561324,0.931,0.795,1.23567095685252e-20,"611.49061","DG(15:0/18:1(12Z)-2OH(9,10)/0:0);
DG(18:1(12Z)-2OH(9,10)/15:0/0:0);
DG(15:0/0:0/18:1(12Z)-2OH(9,10));
DG(18:1(12Z)-2OH(9,10)/0:0/15:0);
DG(a-15:0/18:1(12Z)-2OH(9,10)/0:0);
DG(18:1(12Z)-2OH(9,10)/a-15:0/0:0);
DG(a-15:0/0:0/18:1(12Z)-2OH(9,10));
DG(18:1(12Z)-2OH(9,10)/0:0/a-15:0);
DG(i-15:0/18:1(12Z)-2OH(9,10)/0:0);
DG(18:1(12Z)-2OH(9,10)/i-15:0/0:0);
DG(i-15:0/0:0/18:1(12Z)-2OH(9,10));
DG(18:1(12Z)-2OH(9,10)/0:0/i-15:0)","HMDB0295299;
HMDB0295300;
HMDB0295301;
HMDB0295302;
HMDB0297587;
HMDB0297588;
HMDB0297589;
HMDB0297590;
HMDB0299041;
HMDB0299042;
HMDB0299043;
HMDB0299044","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified",";
;
;
;
;
;
;
;
;
;
;
","*","neg"
"267.07354.3",9.99239380561122e-19,0.269219956056912,0.857,0.703,5.31595350458517e-16,"267.07354","N2-Succinyl-L-ornithine;
4-(Glutamylamino) butanoate;
Aspartyl-Valine;
Threonylhydroxyproline;
L-N-(3-Carboxypropyl)glutamine","HMDB0001199;
HMDB0012161;
HMDB0028766;
HMDB0029062;
HMDB0029393","Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives","Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives","Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues","C03415;
C15767;
;
;
","**","neg"
"327.25434.2",4.61394939426822e-41,0.266403896356042,0.99,0.895,2.45462107775069e-38,"327.25434","MG(16:1);
Avocadene 1-acetate;
Avocadene 2-acetate;
Avocadene 4-acetate","HMDB0011534;
HMDB0031043;
HMDB0031044;
HMDB0031045","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Glycerolipids;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Monoradylglycerols;
Fatty alcohols;
Fatty alcohols;
Fatty alcohols",";
;
;
","*","neg"
"367.24373.4",0.00139632422817934,0.263498978547045,0.231,0.192,0.74284448939141,"367.24373",NA,NA,NA,NA,NA,NA,NA,"neg"
"419.28439.3",6.89348264364843e-07,0.258085601664676,0.45,0.357,0.000366733276642096,"419.28439",NA,NA,NA,NA,NA,NA,NA,"neg"
"215.03275.3",1.64342912646612e-20,-0.262715267555853,1,0.998,8.74304295279977e-18,"215.03275","Paraxanthine;
Theophylline;
Theobromine","HMDB0001860;
HMDB0001889;
HMDB0002825","Organoheterocyclic compounds;
Organoheterocyclic compounds;
Organoheterocyclic compounds","Imidazopyrimidines;
Imidazopyrimidines;
Imidazopyrimidines","Purines and purine derivatives;
Purines and purine derivatives;
Purines and purine derivatives","C13747;
C07130;
C07480","**","neg"
"152.03566.2",8.28768737719880e-58,-0.266852052333616,1,0.999,4.40904968466976e-55,"152.03566","3-Hydroxyanthranilic acid;
Mesalazine","HMDB0001476;
HMDB0014389","Benzenoids;
Benzenoids","Benzene and substituted derivatives;
Benzene and substituted derivatives","Benzoic acids and derivatives;
Benzoic acids and derivatives","C00632;
","*","neg"
"259.02258.3",6.02056467312114e-18,-0.272934683582915,0.989,0.97,3.20294040610045e-15,"259.02258","Urolithin D","HMDB0029219","Phenylpropanoids and polyketides","Coumarins and derivatives","Hydroxycoumarins",NA,"**","neg"
"266.00493.3",0.00222103878711886,-0.279675809973686,0.332,0.373,1,"266.00493",NA,NA,NA,NA,NA,NA,NA,"neg"
"333.09420.3",0.000154030608410441,-0.303727952294738,0.66,0.648,0.0819442836743543,"333.09420","(S)-a-Amino-2,5-dihydro-5-oxo-4-isoxazolepropanoic acid N2-glucoside","HMDB0029404","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,"**","neg"
"466.26566.4",0.00017846949945733,-0.320648407074353,0.281,0.327,0.0949457737112997,"466.26566",NA,NA,NA,NA,NA,NA,NA,"neg"
"103.04029.1",2.25999321987959e-79,-0.33522047158154,0.988,0.988,1.20231639297594e-76,"103.04029","3-Hydroxybutyric acid;
(S)-3-Hydroxybutyric acid;
4-Hydroxybutyric acid;
Ethoxyacetic acid","HMDB0000011;
HMDB0000442;
HMDB0000710;
HMDB0031212","Organic acids and derivatives;
Organic acids and derivatives;
Lipids and lipid-like molecules;
Organic acids and derivatives","Hydroxy acids and derivatives;
Hydroxy acids and derivatives;
Fatty Acyls;
Carboxylic acids and derivatives","Beta hydroxy acids and derivatives;
Beta hydroxy acids and derivatives;
Fatty acids and conjugates;
Carboxylic acids","C01089;
C03197;
C01991;
","*","neg"
"216.92876.3",0.00329696664859594,-0.351475231203925,0.155,0.192,1,"216.92876",NA,NA,NA,NA,NA,NA,NA,"neg"
"886.55697.4",4.34349382931507e-06,-0.382523570311875,0.161,0.229,0.00231073871719562,"886.55697","PS(44:8)","HMDB0112785","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines",NA,"**","neg"
"228.06464.3",9.02548762845309e-07,-0.397222349741274,0.233,0.307,0.000480155941833705,"228.06464","(2r,3r,5s,6r)-2,6-Bis(hydroxymethyl)piperidine-3,4,5-triol;
N-Methylglucosamine","HMDB0242543;
HMDB0255188","Organoheterocyclic compounds;
Organic oxygen compounds","Piperidines;
Organooxygen compounds","Unclassified;
Carbohydrates and carbohydrate conjugates",";
","*","neg"
"242.05192.2",4.5678661436927e-80,-0.412206027058062,0.998,0.999,2.43010478844452e-77,"242.05192",NA,NA,NA,NA,NA,NA,NA,"neg"
"226.99664.3",4.01535911115017e-23,-0.420397700950057,0.79,0.817,2.13617104713189e-20,"226.99664","Oxydemeton-methyl","HMDB0256011","Organosulfur compounds","Sulfoxides","Unclassified","C18664","**","neg"
"362.05107.3",1.78399908883669e-05,-0.429266210564343,0.189,0.25,0.0094908751526112,"362.05107","Guanosine monophosphate;
8-Oxo-dGMP","HMDB0001397;
HMDB0011670","Nucleosides, nucleotides, and analogues;
Nucleosides, nucleotides, and analogues","Purine nucleotides;
Purine nucleotides","Purine ribonucleotides;
Purine deoxyribonucleotides","C00144;
","*","neg"
"208.98453.3",2.15592251286035e-27,-0.435089612387831,0.822,0.865,1.1469507768417e-24,"208.98453","p-TOLUENESULFONYL FLUORIDE;
Phenylmethylsulfonyl fluoride","HMDB0256057;
HMDB0256652","Benzenoids;
Benzenoids","Benzene and substituted derivatives;
Benzene and substituted derivatives","Toluenes;
Unclassified",";
C06747","*","neg"
"111.02001.2",3.66465870743987e-05,-0.441579850792489,0.102,0.151,0.0194959843235801,"111.02001","Uracil;
4-Carboxypyrazole","HMDB0000300;
HMDB0060760","Organoheterocyclic compounds;
Organoheterocyclic compounds","Diazines;
Azoles","Pyrimidines and pyrimidine derivatives;
Pyrazoles","C00106;
","*","neg"
"230.52987.3",2.06057439509759e-23,-0.457592075590732,0.681,0.742,1.09622557819192e-20,"230.52987",NA,NA,NA,NA,NA,NA,NA,"neg"
"446.32069.3",1.79107534041399e-06,-0.476658277792988,0.117,0.178,0.000952852081100244,"446.32069",NA,NA,NA,NA,NA,NA,NA,"neg"
"179.05630.2",2.22510022224075e-81,-0.477003283018574,0.935,0.959,1.18375331823208e-78,"179.05630","5-Acetylamino-6-amino-3-methyluracil","HMDB0004400","Organic nitrogen compounds","Organonitrogen compounds","N-arylamides","C16366","**","neg"
"269.08822.3",7.19468046978845e-55,-0.478402487310475,0.985,0.978,3.82757000992745e-52,"269.08822","Aspartyl-Histidine;
Histidylaspartic acid","HMDB0028755;
HMDB0028881","Organic acids and derivatives;
Organic acids and derivatives","Carboxylic acids and derivatives;
Carboxylic acids and derivatives","Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues",";
","**","neg"
"91.02874.2",3.96390324405873e-29,-0.488681184050041,0.549,0.665,2.10879652583924e-26,"91.02874",NA,NA,NA,NA,NA,NA,NA,"neg"
"216.03619.3",4.98302547989059e-05,-0.489483387019119,0.064,0.105,0.026509695553018,"216.03619","6-Chloro-2,3,4,5-tetrahydro-1H-3-benzazepine","HMDB0247043","Organoheterocyclic compounds","Benzazepines","Unclassified",NA,"*","neg"
"128.03545.2",5.75149858919171e-124,-0.48999928181728,0.971,0.987,3.05979724944999e-121,"128.03545","Pyroglutamic acid;
Pyrroline hydroxycarboxylic acid;
N-Acryloylglycine;
1-Pyrroline-4-hydroxy-2-carboxylate;
dimethadione","HMDB0000267;
HMDB0001369;
HMDB0001843;
HMDB0002234;
HMDB0061093","Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives;
Organoheterocyclic compounds;
Organoheterocyclic compounds","Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Pyrrolines;
Azolidines","Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Unclassified;
Oxazolidines","C01879;
C04281;
;
C04282;
","*","neg"
"125.00134.4",2.80575968316055e-19,-0.495969472158186,0.495,0.569,1.49266415144141e-16,"125.00134","Hydroxypropionic acid;
Glyceraldehyde;
Dihydroxyacetone;
Methoxyacetic acid","HMDB0000700;
HMDB0001051;
HMDB0001882;
HMDB0041929","Organic acids and derivatives;
Organic oxygen compounds;
Organic oxygen compounds;
Organic acids and derivatives","Hydroxy acids and derivatives;
Organooxygen compounds;
Organooxygen compounds;
Carboxylic acids and derivatives","Beta hydroxy acids and derivatives;
Carbohydrates and carbohydrate conjugates;
Carbohydrates and carbohydrate conjugates;
Carboxylic acids","C01013;
C02154;
C00184;
","*","neg"
"102.05623.2",4.04587989417219e-88,-0.50428028546524,0.901,0.939,2.1524081036996e-85,"102.05623","Dimethylglycine;
gamma-Aminobutyric acid;
L-alpha-Aminobutyric acid;
D-alpha-Aminobutyric acid;
2-Aminoisobutyric acid;
(S)-beta-Aminoisobutyric acid;
(R)-beta-Aminoisobutyric acid;
3-Aminoisobutanoic acid;
3-Aminobutanoic acid;
N-Ethylglycine","HMDB0000092;
HMDB0000112;
HMDB0000452;
HMDB0000650;
HMDB0001906;
HMDB0002166;
HMDB0002299;
HMDB0003911;
HMDB0031654;
HMDB0041945","Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives;
Organic acids and derivatives","Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives;
Carboxylic acids and derivatives","Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues","C01026;
C00334;
C02356;
C02261;
C03665;
C03284;
C01205;
C05145;
;
C11735","*","neg"
"146.04581.2",8.1877822460816e-249,-0.520157108489268,1,1,4.35590015491541e-246,"146.04581","7-Methylguanine;
3-Methylguanine","HMDB0000897;
HMDB0001566","Organoheterocyclic compounds;
Organoheterocyclic compounds","Imidazopyrimidines;
Imidazopyrimidines","Purines and purine derivatives;
Purines and purine derivatives","C02242;
C02230","**","neg"
"132.03024.3",2.873595379156e-227,-0.524264195495636,1,1,1.52875274171099e-224,"132.03024","Guanine;
2-Hydroxyadenine;
8-Hydroxyadenine","HMDB0000132;
HMDB0000403;
HMDB0000542","Organoheterocyclic compounds;
Organoheterocyclic compounds;
Organoheterocyclic compounds","Imidazopyrimidines;
Imidazopyrimidines;
Imidazopyrimidines","Purines and purine derivatives;
Purines and purine derivatives;
Purines and purine derivatives","C00242;
;
","**","neg"
"358.01863",4.02816743252499e-07,-0.542836852279821,0.138,0.204,0.000214298507410329,"358.01863","Pirinixic acid","HMDB0256601","Organosulfur compounds","Thioethers","Aryl thioethers","C15617","*","neg"
"147.04960.2",2.18623011872596e-165,-0.547158308679395,0.96,0.986,1.16307442316221e-162,"147.04960",NA,NA,NA,NA,NA,NA,NA,"neg"
"78.95912.3",1.24910802324543e-123,-0.559577405430001,0.964,0.989,6.64525468366569e-121,"78.95912",NA,NA,NA,NA,NA,NA,NA,"neg"
"189.97631.3",9.62222078395711e-23,-0.578497469474395,0.481,0.573,5.11902145706518e-20,"189.97631",NA,NA,NA,NA,NA,NA,NA,"neg"
"162.94017.3",7.66573360973995e-65,-0.578651360874491,0.894,0.946,4.07817028038165e-62,"162.94017",NA,NA,NA,NA,NA,NA,NA,"neg"
"96.96985.3",6.69040227453972e-173,-0.580541421782324,1,1,3.55929401005513e-170,"96.96985","Hydrogen carbonate","HMDB0000595","Organic acids and derivatives","Organic carbonic acids and derivatives","Organic carbonic acids","C01353","*","neg"
"117.01946.1",6.13210244181375e-228,-0.584602224367084,1,1,3.26227849904491e-225,"117.01946","Hypoxanthine","HMDB0000157","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","C00262","**","neg"
"364.95693.3",2.12260394801165e-08,-0.60286341225728,0.044,0.1,1.1292253003422e-05,"364.95693",NA,NA,NA,NA,NA,NA,NA,"neg"
"140.01214",2.20830808308305e-235,-0.605841164060174,0.979,0.996,1.17481990020018e-232,"140.01214","L-Serine;
D-Serine","HMDB0000187;
HMDB0003406","Organic acids and derivatives;
Organic acids and derivatives","Carboxylic acids and derivatives;
Carboxylic acids and derivatives","Amino acids, peptides, and analogues;
Amino acids, peptides, and analogues","C00065;
C00740","*","neg"
"246.99767.3",8.36656341463684e-17,-0.612089878857426,0.354,0.458,4.4510117365868e-14,"246.99767",NA,NA,NA,NA,NA,NA,NA,"neg"
"246.95102.2",9.39341509896699e-66,-0.614120964757436,0.917,0.924,4.99729683265044e-63,"246.95102",NA,NA,NA,NA,NA,NA,NA,"neg"
"197.92142.3",4.82273828232197e-19,-0.621254123851193,0.389,0.494,2.56569676619529e-16,"197.92142",NA,NA,NA,NA,NA,NA,NA,"neg"
"88.04039.3",2.2167502292268e-12,-0.636021568899798,0.168,0.268,1.17931112194866e-09,"88.04039","Aziridine","HMDB0248809","Organoheterocyclic compounds","Aziridines","Unclassified","C11687","*","neg"
"360.97140",2.28965372627127e-06,-0.64096229913826,0.059,0.106,0.00121809578237632,"360.97140",NA,NA,NA,NA,NA,NA,NA,"neg"
